User #1133:
  Task #5121: 43
  Task #5899: 47
  Task #5476: 57
  Task #5871: 52
  Task #5072: 32
  Task #5855: 29
  Task #5697: 36
  Task #5593: 36
  Task #5467: 37
  Task #5626: 9
  Task #5921: 53
  Task #5575: 24
  Task #5762: 54
  Task #5369: 24
  Task #5916: 43
  Task #5978: 42
  Task #5557: 67
  Task #5022: 28
  Task #5241: 63
  Task #5846: 65
  Task #5117: 29
  Task #5634: 50
  Task #5001: 48
  Task #5260: 58
  Task #5081: 42
  Task #5042: 40
  Task #5959: 37
  Task #5560: 44
  Task #5690: 28
  Task #5356: 44
  Task #5099: 38
  Task #5688: 52
  Task #5188: 50
  Task #5534: 28
  Task #5818: 20
  Task #5642: 27
  Task #5142: 43
  Task #5929: 31
  Task #5300: 24
  Task #5270: 51
  Task #5700: 39
  Task #5772: 23
  Task #5192: 37
  Task #5707: 54
  Task #5351: 15
  Task #5662: 67
  Task #5580: 28
  Task #5520: 38
  Task #5512: 49
  Task #5751: 46
  Task #5275: 30
  Task #5968: 30
  Task #5976: 23
  Task #5627: 35
  Task #5977: 30
  Task #5912: 50
  Task #5240: 42
  Task #5715: 44
  Task #5359: 22
  Task #5365: 64
  Task #5098: 46
  Task #5410: 38
  Task #5510: 34
  Task #5439: 69
  Task #5213: 31
  Task #5158: 63
  Task #5029: 42
  Task #5881: 36
  Task #5591: 27
  Task #5125: 49
  Task #5974: 36
  Task #5080: 20
  Task #5027: 51
  Task #5469: 68
  Task #5980: 36
  Task #5157: 1
  Task #5175: 16
  Task #5280: 40
  Task #5747: 37
  Task #5203: 28
  Task #5078: 27
  Task #5635: 24
  Task #5069: 34
  Task #5911: 70
  Task #5343: 29
  Task #5317: 37
  Task #5724: 9
  Task #5919: 25
  Task #5995: 17
  Task #5003: 78
  Task #5301: 37
  Task #5754: 32
  Task #5861: 22
  Task #5565: 57
  Task #5266: 25
  Task #5648: 43
  Task #5984: 32
  Task #5068: 59
  Task #5658: 51
  Task #5940: 32
  Task #5801: 29
  Task #5629: 39
  Task #5264: 47
  Task #5201: 38
  Task #5179: 44
  Task #5851: 41
  Task #5458: 48
  Task #5488: 67
  Task #5934: 48
  Task #5232: 34
  Task #5045: 50
  Task #5915: 58
  Task #5588: 49
  Task #5800: 37
  Task #5284: 38
  Task #5308: 23
  Task #5595: 42
  Task #5705: 41
  Task #5888: 44
  Task #5091: 39
  Task #5794: 61
  Task #5374: 61
  Task #5817: 61
  Task #5531: 35
  Task #5296: 36
  Task #5020: 27
  Task #5269: 35
  Task #5334: 61
  Task #5790: 42
  Task #5495: 50
  Task #5718: 45
  Task #5103: 60
  Task #5831: 36
  Task #5990: 31
  Task #5108: 43
  Task #5114: 67
  Task #5226: 23
  Task #5077: 41
  Task #5975: 26
  Task #5102: 68
  Task #5440: 51
  Task #5903: 71
  Task #5401: 30
  Task #5215: 28
  Task #5363: 42
  Task #5408: 39
  Task #5890: 36
  Task #5862: 57
  Task #5254: 37
  Task #5239: 57
  Task #5938: 38
  Task #5168: 57
  Task #5812: 29
  Task #5941: 44
  Task #5190: 21
  Task #5283: 24
  Task #5444: 43
  Task #5639: 49
  Task #5744: 37
  Task #5869: 73
  Task #5311: 55
  Task #5509: 71
  Task #5129: 35
  Task #5079: 50
  Task #5738: 48
  Task #5333: 40
  Task #5153: 61
  Task #5468: 37
  Task #5083: 25
  Task #5969: 25
  Task #5661: 67
  Task #5160: 30
  Task #5282: 46
  Task #5273: 19
  Task #5505: 40
  Task #5024: 6
  Task #5295: 40
  Task #5936: 27
  Task #5197: 36
  Task #5859: 43
  Task #5554: 29
  Task #5807: 61
  Task #5902: 40
  Task #5825: 46
  Task #5847: 32
  Task #5889: 75
  Task #5032: 61
  Task #5918: 40
  Task #5993: 33
  Task #5225: 32
  Task #5233: 35
  Task #5443: 45
  Task #5028: 18
  Task #5830: 23
  Task #5414: 50
  Task #5849: 25
  Task #5669: 40
  Task #5953: 40
  Task #5426: 24
  Task #5810: 23
  Task #5126: 15
  Task #5450: 45
  Task #5867: 49
  Task #5155: 47
  Task #5922: 54
  Task #5773: 19
  Task #5134: 33
  Task #5152: 44
  Task #5917: 33
  Task #5602: 60
  Task #5037: 43
  Task #5247: 46
  Task #5431: 39
  Task #5592: 39
  Task #5787: 28
  Task #5048: 30
  Task #5526: 58
  Task #5132: 72
  Task #5598: 34
  Task #5165: 56
  Task #5497: 52
  Task #5087: 46
  Task #5009: 20
  Task #5361: 22
  Task #5219: 38
  Task #5900: 29
  Task #5499: 13
  Task #5943: 46
  Task #5237: 54
  Task #5986: 24
  Task #5330: 43
  Task #5988: 41
  Task #5184: 22
  Task #5714: 43
  Task #5870: 36
  Task #5937: 34
  Task #5558: 41
  Task #5981: 37
  Task #5935: 52
  Task #5880: 41
  Task #5676: 27
  Task #5872: 22
  Task #5289: 34
  Task #5268: 56
  Task #5709: 63
  Task #5413: 41
  Task #5482: 23
  Task #5321: 65
  Task #5421: 45
  Task #5416: 27
  Task #5566: 10
  Task #5539: 23
  Task #5397: 49
  Task #5670: 28
  Task #5107: 33
  Task #5193: 56
  Task #5625: 59
  Task #5346: 31
  Task #5955: 49
  Task #5492: 44
  Task #5998: 25
  Task #5227: 24
  Task #5339: 50
  Task #5680: 30
  Task #5569: 61
  Task #5292: 26
  Task #5764: 24
  Task #5583: 40
  Task #5696: 25
  Task #5681: 63
  Task #5803: 59
  Task #5631: 33
  Task #5306: 36
  Task #5538: 60
  Task #5256: 58
  Task #5047: 36
  Task #5725: 28
  Task #5776: 53
  Task #5719: 49
  Task #5815: 42
  Task #5063: 36
  Task #5866: 19
  Task #5196: 24
  Task #5530: 52
  Task #5559: 32
  Task #5659: 35
  Task #5130: 23
  Task #5763: 48
  Task #5058: 34
  Task #5864: 32
  Task #5983: 49
  Task #5021: 35
  Task #5067: 21
  Task #5780: 26
  Task #5501: 44
  Task #5671: 31
  Task #5603: 24
  Task #5419: 65
  Task #5729: 47
  Task #5449: 62
  Task #5332: 29
  Task #5546: 42
  Task #5422: 28
  Task #5949: 45
  Task #5367: 35
  Task #5704: 48
  Task #5484: 58
  Task #5720: 23
  Task #5740: 24
  Task #5563: 49
  Task #5302: 28
  Task #5199: 42
  Task #5258: 73
  Task #5987: 45
  Task #5610: 61
  Task #5885: 33
  Task #5388: 29
  Task #5310: 37
  Task #5390: 49
  Task #5272: 41
  Task #5887: 25
  Task #5124: 34
  Task #5948: 26
  Task #5489: 46
  Task #5796: 89
  Task #5506: 27
  Task #5693: 22
  Task #5084: 46
  Task #5683: 37
  Task #5119: 61
  Task #5163: 20
  Task #5096: 47
  Task #5574: 46
  Task #5204: 37
  Task #5826: 50
  Task #5965: 34
  Task #5979: 64
  Task #5463: 19
  Task #5771: 21
  Task #5409: 33
  Task #5962: 36
  Task #5246: 34
  Task #5011: 27
  Task #5470: 18
  Task #5746: 25
  Task #5895: 33
  Task #5858: 58
  Task #5856: 32
  Task #5348: 42
  Task #5996: 47
  Task #5653: 50
  Task #5435: 22
  Task #5868: 75
  Task #5052: 64
  Task #5706: 55
  Task #5128: 49
  Task #5412: 56
  Task #5274: 35
  Task #5939: 68
  Task #5094: 30
  Task #5768: 36
  Task #5185: 44
  Task #5344: 42
  Task #5909: 45
  Task #5200: 58
  Task #5527: 34
  Task #5358: 26
  Task #5806: 39
  Task #5141: 58
  Task #5711: 29
  Task #5756: 11
  Task #5748: 50
  Task #5323: 74
  Task #5717: 17
  Task #5519: 50
  Task #5524: 29
  Task #5908: 22
  Task #5245: 21
  Task #5682: 26
  Task #5774: 51
  Task #5040: 18
  Task #5441: 16
  Task #5060: 40
  Task #5853: 44
  Task #5698: 18
  Task #5030: 48
  Task #5380: 34
  Task #5597: 56
  Task #5326: 31
  Task #5035: 28
  Task #5167: 18
  Task #5540: 19
  Task #5395: 33
  Task #5064: 45
  Task #5638: 29
  Task #5808: 15
  Task #5789: 28
  Task #5804: 18
  Task #5262: 43
  Task #5835: 72
  Task #5338: 22
  Task #5299: 35
  Task #5212: 12
  Task #5716: 36
  Task #5945: 30
  Task #5703: 51
  Task #5014: 44
  Task #5829: 23
  Task #5433: 29
  Task #5795: 46
  Task #5691: 43
  Task #5657: 45
  Task #5590: 59
  Task #5012: 32
  Task #5579: 84
  Task #5674: 17
  Task #5216: 18
  Task #5928: 52
  Task #5734: 20
  Task #5860: 37
  Task #5164: 43
  Task #5291: 34
  Task #5630: 20
  Task #5378: 26
  Task #5797: 38
  Task #5238: 19
  Task #5418: 48
  Task #5123: 60
  Task #5745: 21
  Task #5616: 37
  Task #5140: 29
  Task #5425: 33
  Task #5169: 41
  Task #5100: 61
  Task #5494: 32
  Task #5250: 22
  Task #5564: 35
  Task #5457: 10
  Task #5799: 44
  Task #5420: 54
  Task #5386: 31
  Task #5191: 42
  Task #5480: 30
  Task #5379: 24
  Task #5913: 36
  Task #5366: 38
  Task #5402: 38
  Task #5845: 55
  Task #5572: 38
  Task #5644: 54
  Task #5730: 47
  Task #5362: 14
  Task #5429: 33
  Task #5328: 43
  Task #5370: 40
  Task #5287: 24
  Task #5739: 36
  Task #5350: 57
  Task #5742: 43
  Task #5034: 63
  Task #5735: 22
  Task #5828: 30
  Task #5529: 26
  Task #5792: 36
  Task #5221: 39
  Task #5541: 40
  Task #5223: 55
  Task #5500: 39
  Task #5699: 26
  Task #5842: 20
  Task #5886: 38
  Task #5109: 30
  Task #5319: 29
  Task #5399: 33
  Task #5277: 21
  Task #5811: 43
  Task #5781: 39
  Task #5373: 40
  Task #5713: 35
  Task #5502: 28
  Task #5752: 41
  Task #5057: 31
  Task #5633: 61
  Task #5389: 28
  Task #5195: 32
  Task #5145: 48
  Task #5982: 54
  Task #5377: 25
  Task #5695: 72
  Task #5905: 29
  Task #5723: 47
  Task #5942: 20
  Task #5459: 25
  Task #5824: 47
  Task #5827: 55
  Task #5253: 52
  Task #5305: 87
  Task #5767: 29
  Task #5750: 28
  Task #5088: 34
  Task #5784: 48
  Task #5430: 13
  Task #5708: 48
  Task #5511: 29
  Task #5205: 45
  Task #5637: 28
  Task #5352: 35
  Task #5893: 28
  Task #5544: 44
  Task #5278: 27
  Task #5371: 30
  Task #5702: 33
  Task #5479: 48
  Task #5297: 25
  Task #5325: 29
  Task #5834: 52
  Task #5759: 40
  Task #5337: 31
  Task #5249: 54
  Task #5875: 49
  Task #5110: 57
  Task #5775: 46
  Task #5926: 38
  Task #5162: 32
  Task #5406: 39
  Task #5074: 53
  Task #5656: 50
  Task #5342: 67
  Task #5120: 21
  Task #5923: 31
  Task #5090: 41
  Task #5894: 51
  Task #5054: 58
  Task #5061: 35
  Task #5542: 46
  Task #5874: 45
  Task #5044: 34
  Task #5779: 50
  Task #5614: 44
  Task #5924: 47
  Task #5632: 55
  Task #5957: 15
  Task #5462: 43
  Task #5652: 46
  Task #5876: 52
  Task #5994: 50
  Task #5210: 25
  Task #5026: 8
  Task #5617: 36
  Task #5228: 46
  Task #5848: 35
  Task #5279: 38
  Task #5149: 44
  Task #5891: 28
  Task #5907: 26
  Task #5954: 34
  Task #5404: 13
  Task #5062: 36
  Task #5666: 45
  Task #5562: 33
  Task #5809: 65
  Task #5537: 48
  Task #5336: 20
  Task #5473: 51
  Task #5244: 52
  Task #5518: 39
  Task #5194: 55
  Task #5261: 53
  Task #5712: 40
  Task #5504: 38
  Task #5582: 25
  Task #5483: 16
  Task #5207: 34
  Task #5170: 28
  Task #5423: 51
  Task #5400: 34
  Task #5329: 24
  Task #5411: 41
  Task #5585: 48
  Task #5146: 67
  Task #5760: 47
  Task #5710: 52
  Task #5933: 13
  Task #5545: 35
  Task #5561: 55
  Task #5743: 52
  Task #5865: 11
  Task #5733: 31
  Task #5904: 32
  Task #5600: 34
  Task #5837: 14
  Task #5116: 28
  Task #5609: 55
  Task #5385: 35
  Task #5222: 59
  Task #5220: 24
  Task #5322: 41
  Task #5854: 51
  Task #5331: 26
  Task #5398: 40
  Task #5532: 54
  Task #5622: 47
  Task #5007: 13
  Task #5023: 31
  Task #5180: 49
  Task #5318: 35
  Task #5892: 26
  Task #5798: 42
  Task #5271: 15
  Task #5946: 42
  Task #5516: 45
  Task #5684: 48
  Task #5198: 29
  Task #5181: 48
  Task #5581: 37
  Task #5841: 29
  Task #5944: 45
  Task #5550: 46
  Task #5263: 49
  Task #5785: 34
  Task #5694: 34
  Task #5144: 39
  Task #5596: 31
  Task #5442: 43
  Task #5136: 42
  Task #5679: 34
  Task #5189: 39
  Task #5960: 36
  Task #5355: 77
  Task #5838: 39
  Task #5106: 42
  Task #5570: 59
  Task #5405: 70
  Task #5392: 75
  Task #5692: 22
  Task #5019: 28
  Task #5217: 45
  Task #5677: 37
  Task #5115: 34
  Task #5046: 49
  Task #5461: 24
  Task #5675: 39
  Task #5417: 49
  Task #5095: 33
  Task #5071: 63
  Task #5493: 57
  Task #5878: 30
  Task #5013: 24
  Task #5514: 33
  Task #5004: 54
  Task #5814: 38
  Task #5176: 26
  Task #5673: 51
  Task #5122: 27
  Task #5952: 59
  Task #5536: 62
  Task #5964: 34
  Task #5576: 47
  Task #5211: 30
  Task #5517: 46
  Task #5303: 29
  Task #5836: 31
  Task #5127: 40
  Task #5066: 48
  Task #5571: 20
  Task #5721: 45
  Task #5324: 31
  Task #5178: 27
  Task #5604: 34
  Task #5101: 38
  Task #5327: 20
  Task #5089: 28
  Task #5791: 37
  Task #5465: 41
  Task #5000: 41
  Task #5844: 10
  Task #5620: 35
  Task #5819: 35
  Task #5043: 29
  Task #5686: 44
  Task #5383: 47
  Task #5112: 28
  Task #5678: 22
  Task #5528: 32
  Task #5341: 53
  Task #5822: 51
  Task #5055: 46
  Task #5312: 39
  Task #5304: 33
  Task #5209: 33
  Task #5177: 43
  Task #5281: 24
  Task #5584: 52
  Task #5823: 28
  Task #5553: 43
  Task #5971: 14
  Task #5551: 30
  Task #5606: 26
  Task #5454: 37
  Task #5151: 46
  Task #5985: 50
  Task #5437: 45
  Task #5523: 50
  Task #5451: 73
  Task #5097: 41
  Task #5491: 53
  Task #5970: 46
  Task #5375: 32
  Task #5394: 35
  Task #5118: 54
  Task #5294: 29
  Task #5214: 70
  Task #5930: 58
  Task #5813: 25
  Task #5728: 33
  Task #5897: 29
  Task #5573: 26
  Task #5286: 25
  Task #5382: 35
  Task #5455: 41
  Task #5613: 39
  Task #5391: 68
  Task #5769: 57
  Task #5031: 47
  Task #5577: 43
  Task #5778: 28
  Task #5755: 37
  Task #5989: 32
  Task #5732: 50
  Task #5008: 31
  Task #5805: 66
  Task #5649: 19
  Task #5498: 42
  Task #5906: 54
  Task #5427: 44
  Task #5783: 38
  Task #5672: 55
  Task #5471: 56
  Task #5453: 44
  Task #5002: 23
  Task #5159: 49
  Task #5643: 38
  Task #5950: 13
  Task #5586: 32
  Task #5608: 42
  Task #5460: 34
  Task #5896: 42
  Task #5053: 28
  Task #5668: 46
  Task #5722: 44
  Task #5999: 53
  Task #5611: 27
  Task #5218: 28
  Task #5138: 55
  Task #5113: 41
  Task #5073: 35
  Task #5850: 50
  Task #5607: 73
  Task #5139: 44
  Task #5049: 47
  Task #5183: 48
  Task #5665: 43
  Task #5464: 27
  Task #5966: 25
  Task #5884: 55
  Task #5147: 70
  Task #5315: 40
  Task #5005: 29
  Task #5384: 54
  Task #5347: 29
  Task #5230: 74
  Task #5567: 45
  Task #5664: 21
  Task #5017: 49
  Task #5133: 55
  Task #5036: 23
  Task #5434: 23
  Task #5646: 47
  Task #5403: 15
  Task #5267: 34
  Task #5252: 35
  Task #5186: 26
  Task #5320: 36
  Task #5533: 24
  Task #5041: 51
  Task #5432: 40
  Task #5535: 33
  Task #5802: 61
  Task #5820: 44
  Task #5105: 19
  Task #5477: 27
  Task #5956: 29
  Task #5547: 37
  Task #5050: 52
  Task #5438: 55
  Task #5883: 33
  Task #5663: 36
  Task #5251: 47
  Task #5242: 35
  Task #5174: 33
  Task #5508: 37
  Task #5474: 47
  Task #5621: 56
  Task #5920: 25
  Task #5276: 41
  Task #5737: 45
  Task #5452: 55
  Task #5766: 48
  Task #5486: 38
  Task #5104: 44
  Task #5428: 51
  Task #5619: 35
  Task #5056: 54
  Task #5314: 57
  Task #5257: 53
  Task #5513: 23
  Task #5685: 19
  Task #5578: 16
  Task #5521: 56
  Task #5235: 42
  Task #5481: 55
  Task #5873: 46
  Task #5415: 42
  Task #5447: 31
  Task #5852: 42
  Task #5025: 54
  Task #5349: 32
  Task #5701: 33
  Task #5154: 46
  Task #5208: 33
  Task #5456: 23
  Task #5857: 24
  Task #5556: 75
  Task #5843: 51
  Task #5309: 47
  Task #5863: 46
  Task #5599: 34
  Task #5832: 73
  Task #5951: 36
  Task #5927: 49
  Task #5354: 48
  Task #5313: 20
  Task #5552: 47
  Task #5446: 21
  Task #5782: 44
  Task #5150: 56
  Task #5636: 39
  Task #5753: 29
  Task #5206: 58
  Task #5525: 29
  Task #5650: 60
  Task #5522: 19
  Task #5655: 36
  Task #5507: 36
  Task #5932: 34
  Task #5992: 23
  Task #5660: 37
  Task #5689: 43
  Task #5387: 39
  Task #5645: 40
  Task #5466: 23
  Task #5335: 58
  Task #5360: 33
  Task #5076: 41
  Task #5143: 44
  Task #5726: 56
  Task #5137: 49
  Task #5234: 60
  Task #5770: 53
  Task #5958: 33
  Task #5173: 35
  Task #5757: 59
  Task #5925: 32
  Task #5641: 42
  Task #5548: 37
  Task #5393: 47
  Task #5131: 51
  Task #5973: 48
  Task #5651: 51
  Task #5255: 51
  Task #5877: 19
  Task #5224: 29
  Task #5006: 80
  Task #5749: 55
  Task #5051: 43
  Task #5931: 28
=======================
Task #5488: 8610
Task #5011: 8566
Task #5260: 8537
Task #5392: 8512
Task #5814: 8509
Task #5898: 8508
Task #5124: 8495
Task #5844: 8491
Task #5419: 8488
Task #5926: 8477
Done.

________________________________________________________
Executed in    3.82 secs    fish           external
   usr time    2.62 secs    0.08 millis    2.62 secs
   sys time    0.64 secs    1.65 millis    0.64 secs

Benchmark:

Operating System: macOS
CPU Information: Apple M1 Max
Number of Available Cores: 10
Available memory: 32 GB
Elixir 1.14.3
Erlang 25.1.2

Benchmark suite executing with the following configuration:
warmup: 0 ns
time: 10 s
memory time: 10 s
reduction time: 0 ns
parallel: 1
inputs: none specified
Estimated total run time: 20 s

Benchmarking task ...

Name           ips        average  deviation         median         99th %
task          0.50         2.00 s     ±3.94%         2.01 s         2.09 s

Memory usage statistics:

Name    Memory usage
task         3.31 GB

**All measurements for memory usage were the same**
